value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
stud,EQUIPMENT,ambiguous,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=2; BODY_PART=1; LOCATION=1,2,2
Korce Hospital,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=3; LOCATION=2,1,2
CTF,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=6; LOCATION=2,1,2
FCM,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=5; EQUIPMENT=1; LOCATION=1,2,2
KSU,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
paint line,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2,1,2
ch?o,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=4; LOCATION=2,1,2
body guard,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
bottom,BODY_PART,high,BODY_PART; LOCATION,BODY_PART=6; LOCATION=1,1,1
diesel tank,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
goat head,BODY_PART,high,BODY_PART; EQUIPMENT,BODY_PART=5; EQUIPMENT=1,1,1
bottom step,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
company truck,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=1,1,1
bore,LOCATION,high,BODY_PART; LOCATION,LOCATION=7; BODY_PART=1,1,1
crane pedestal,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=5; LOCATION=1,1,1
bogey,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
cribbing,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
connector,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=14; LOCATION=1,1,1
crosshead,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
control panel,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=10; LOCATION=1,1,1
department,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
gusset plate,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=3; BODY_PART=1,1,1
dining table,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
cylinder,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=7; BODY_PART=1,1,1
guincho,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
desanders,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
customer property,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=1,1,1
gutter,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=1,1,1
desk,LOCATION,high,EQUIPMENT; LOCATION,LOCATION=15; EQUIPMENT=1,1,1
grating plate,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
book shelf,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
control cabin,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=1,1,1
