is_match,id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key,risk_score,num_mismatch
,eb451950-a1e9-40d4-840f-3222cff75b9c,933e45bd-31ee-4b2e-9202-9eb756048663,LOCATION,DI_09 EPCL PROJECT,DI_29 - EPCL PROJECT,0.9444444444444444,09,29,0.0,LOCATION|DI|4,0.9444444444444444,True
,8cc357f7-68f8-49a5-9f52-1d6c91fbf88a,9273dcce-c4d8-4ecb-8b4a-eef27af216a7,LOCATION,DI_18 EPCL PROJECT,DI_17 EPCL PROJECT,0.9444444444444444,18,17,0.0,LOCATION|DI|4,0.9444444444444444,True
,1d6d84a2-2184-480f-90f7-0ae2ef68e812,0b814f83-8713-4ede-b86a-b318aa31e417,LOCATION,NUSAJAYA CAMPUS 2,NUSAJAYA CAMPUS 1,0.9411764705882354,2,1,0.0,LOCATION|NUSAJAYA|4,0.9411764705882354,True
,a2a2c4ac-964c-45ba-9d16-e7109a75db89,b175f0b4-5e6c-4091-9d26-29b4e586880c,LOCATION,HOUSTON GREMP S15,HOUSTON GREMP - S13,0.9411764705882354,15,13,0.0,LOCATION|HOUSTON|4,0.9411764705882354,True
,6f3ae19a-12e4-442c-860f-8730e0ef6f67,af2d68b8-f3fe-4593-be43-ea2213b45246,LOCATION,MODULE SHOP BAY 1,"MODULE SHOP, BAY 4",0.9411764705882354,1,4,0.0,LOCATION|MODULE|4,0.9411764705882354,True
,33828d85-67e4-4a26-a40a-ddd3380a0e31,e32d8245-cb87-4ade-aaa3-b0b10d121b75,LOCATION,UNIT 300,UNIT 2300,0.9411764705882354,300,2300,0.0,LOCATION|UNIT|2,0.9411764705882354,True
,ee92bbcd-5fc9-491f-922b-a2348b205950,3a1a7e4a-3045-4f71-affd-1abaf6768321,ORGANIZATION,EMPLOYEE 10023210,EMPLOYEE 10023610,0.9411764705882354,10023210,10023610,0.0,ORGANIZATION|EMPLOYEE|4,0.9411764705882354,True
,efd1014c-3282-49c8-bddc-0f49d3c2940b,af1e2b59-6c4d-4808-bee8-2114541661f0,ORGANIZATION,EMPLOYEE 10025317,EMPLOYEE 10025318,0.9411764705882354,10025317,10025318,0.0,ORGANIZATION|EMPLOYEE|4,0.9411764705882354,True
,e09bf7a6-df2d-4853-8f02-4416c98a97d0,e7dcbace-e247-44ec-af21-20b8c5dca2e8,ORGANIZATION,EMPLOYEE 10026008,EMPLOYEE #10023600,0.9411764705882354,10026008,10023600,0.0,ORGANIZATION|EMPLOYEE|4,0.9411764705882354,True
,f0dbb494-816e-48d9-aeec-8afb8929d8be,3eebec4d-cfba-4447-838c-d1ac3325e905,ORGANIZATION,EMPLOYEE 10025650,EMPLOYEE #10026750,0.9411764705882354,10025650,10026750,0.0,ORGANIZATION|EMPLOYEE|4,0.9411764705882354,True
,f0dbb494-816e-48d9-aeec-8afb8929d8be,b8d6bfe3-d63e-4055-a0ad-0060b89d314f,ORGANIZATION,EMPLOYEE 10025650,EMPLOYEE 10026570,0.9411764705882354,10025650,10026570,0.0,ORGANIZATION|EMPLOYEE|4,0.9411764705882354,True
,3eebec4d-cfba-4447-838c-d1ac3325e905,b8d6bfe3-d63e-4055-a0ad-0060b89d314f,ORGANIZATION,EMPLOYEE #10026750,EMPLOYEE 10026570,0.9411764705882354,10026750,10026570,0.0,ORGANIZATION|EMPLOYEE|4,0.9411764705882354,True
,7b125fca-8204-4551-b81d-e2c81771abd3,af1e2b59-6c4d-4808-bee8-2114541661f0,ORGANIZATION,EMPLOYEE 10025818,EMPLOYEE 10025318,0.9411764705882354,10025818,10025318,0.0,ORGANIZATION|EMPLOYEE|4,0.9411764705882354,True
