entity_type,entity_id,canonical_id,cluster_id
EQUIPMENT,EQUIPMENT::FILTERS,EQUIPMENT::FILTER,EQUIPMENT::FILTER
EQUIPMENT,EQUIPMENT::FILTER PODS,EQUIPMENT::FILTER POD,EQUIPMENT::FILTER POD
EQUIPMENT,EQUIPMENT::FIRE  HOSE  REEL,EQUIPMENT::FIRE HOSE REEL,EQUIPMENT::FIRE  HOSE  REEL
EQUIPMENT,EQUIPMENT::FIRE BLANKETS,EQUIPMENT::FIRE BLANKET,EQUIPMENT::FIRE BLANKET
EQUIPMENT,EQUIPMENT::FIRE DETECTION SYSTEM,EQUIPMENT::FIRE DETECTION SYSTEMS,EQUIPMENT::FIRE DETECTION SYSTEM
EQUIPMENT,EQUIPMENT::FIRE DETECTORS,EQUIPMENT::FIRE DETECTOR,EQUIPMENT::FIRE DETECTOR
EQUIPMENT,EQUIPMENT::FIRE EXTINGUISHERS,EQUIPMENT::FIRE EXTINGUISHER,EQUIPMENT::FIRE EXTINGUISHER
EQUIPMENT,EQUIPMENT::FIRE HOSES,EQUIPMENT::FIRE HOSE,EQUIPMENT::FIRE HOSE
EQUIPMENT,EQUIPMENT::FIRST AIDS,EQUIPMENT::FIRST AID,EQUIPMENT::FIRST AID
EQUIPMENT,EQUIPMENT::FIRST AID KITS,EQUIPMENT::FIRST AID KIT,EQUIPMENT::FIRST AID KIT
EQUIPMENT,EQUIPMENT::FITTINGS,EQUIPMENT::FITTING,EQUIPMENT::FITTING
EQUIPMENT,EQUIPMENT::FIXTURE PLATES,EQUIPMENT::FIXTURE PLATE,EQUIPMENT::FIXTURE PLATE
EQUIPMENT,EQUIPMENT::FLANGES,EQUIPMENT::FLANGE,EQUIPMENT::FLANGE
EQUIPMENT,EQUIPMENT::FLARE LINES,EQUIPMENT::FLARE LINE,EQUIPMENT::FLARE LINE
EQUIPMENT,EQUIPMENT::FLASH BACK ARRESTOR,EQUIPMENT::FLASH BACK ARRESTORS,EQUIPMENT::FLASH BACK ARRESTOR
EQUIPMENT,EQUIPMENT::FLASHBACK ARRESTOR,EQUIPMENT::FLASHBACK ARRESTORS,EQUIPMENT::FLASHBACK ARRESTOR
EQUIPMENT,EQUIPMENT::FLET,EQUIPMENT::FLETS,EQUIPMENT::FLET
EQUIPMENT,EQUIPMENT::FLEXIBLE LINE,EQUIPMENT::FLEXIBLE LINES,EQUIPMENT::FLEXIBLE LINE
EQUIPMENT,EQUIPMENT::FLEXIBLE TUBE,EQUIPMENT::FLEXIBLE TUBES,EQUIPMENT::FLEXIBLE TUBE
EQUIPMENT,EQUIPMENT::FLOWMETERS,EQUIPMENT::FLOWMETER,EQUIPMENT::FLOWMETER
EQUIPMENT,EQUIPMENT::FOAM FIRE EXTINGUISHER,EQUIPMENT::FOAM FIRE EXTINGUISHERS,EQUIPMENT::FOAM FIRE EXTINGUISHER
EQUIPMENT,EQUIPMENT::FORK,EQUIPMENT::FORKS,EQUIPMENT::FORK
EQUIPMENT,EQUIPMENT::FORK ATTACHMENT,EQUIPMENT::FORK ATTACHMENTS,EQUIPMENT::FORK ATTACHMENT
EQUIPMENT,EQUIPMENT::FORKLIFTS,EQUIPMENT::FORKLIFT,EQUIPMENT::FORKLIFT
EQUIPMENT,EQUIPMENT::FORKLIFT DRIVERS,EQUIPMENT::FORKLIFT DRIVER,EQUIPMENT::FORKLIFT DRIVER
EQUIPMENT,EQUIPMENT::FORKLIFT FORK,EQUIPMENT::FORKLIFT FORKS,EQUIPMENT::FORKLIFT FORK
EQUIPMENT,EQUIPMENT::FORKLIFT POCKETS,EQUIPMENT::FORKLIFT POCKET,EQUIPMENT::FORKLIFT POCKET
EQUIPMENT,EQUIPMENT::FORMWORKS,EQUIPMENT::FORMWORK,EQUIPMENT::FORMWORK
EQUIPMENT,EQUIPMENT::FRAC TANK,EQUIPMENT::FRAC TANKS,EQUIPMENT::FRAC TANK
EQUIPMENT,EQUIPMENT::FREEZERS,EQUIPMENT::FREEZER,EQUIPMENT::FREEZER
EQUIPMENT,EQUIPMENT::G CLAMP,EQUIPMENT::G CLAMPS,EQUIPMENT::G CLAMP
EQUIPMENT,EQUIPMENT::GANTRY   CRANE,EQUIPMENT::GANTRY CRANE,EQUIPMENT::GANTRY   CRANE
EQUIPMENT,EQUIPMENT::GAS CYLINDER,EQUIPMENT::GAS CYLINDERS,EQUIPMENT::GAS CYLINDER
EQUIPMENT,EQUIPMENT::GAS DETECTORS,EQUIPMENT::GAS DETECTOR,EQUIPMENT::GAS DETECTOR
EQUIPMENT,EQUIPMENT::GAS HOSES,EQUIPMENT::GAS HOSE,EQUIPMENT::GAS HOSE
EQUIPMENT,EQUIPMENT::GATE VALVE,EQUIPMENT::GATE VALVES,EQUIPMENT::GATE VALVE
EQUIPMENT,EQUIPMENT::GEARS,EQUIPMENT::GEAR,EQUIPMENT::GEAR
EQUIPMENT,EQUIPMENT::GENERATOR,EQUIPMENT::GENERATORS,EQUIPMENT::GENERATOR
EQUIPMENT,EQUIPMENT::GIN WHEELS,EQUIPMENT::GIN WHEEL,EQUIPMENT::GIN WHEEL
EQUIPMENT,EQUIPMENT::GLOVE,EQUIPMENT::GLOVES,EQUIPMENT::GLOVE
EQUIPMENT,EQUIPMENT::GOGGLE,EQUIPMENT::GOGGLES,EQUIPMENT::GOGGLE
EQUIPMENT,EQUIPMENT::GRAPPLE,EQUIPMENT::GRAPPLES,EQUIPMENT::GRAPPLE
EQUIPMENT,EQUIPMENT::GRATINGS,EQUIPMENT::GRATING,EQUIPMENT::GRATING
EQUIPMENT,EQUIPMENT::GRATING PLATE,EQUIPMENT::GRATING PLATES,EQUIPMENT::GRATING PLATE
EQUIPMENT,EQUIPMENT::GREASE HOSES,EQUIPMENT::GREASE HOSE,EQUIPMENT::GREASE HOSE
EQUIPMENT,EQUIPMENT::GRID STACK,EQUIPMENT::GRID STACKS,EQUIPMENT::GRID STACK
EQUIPMENT,EQUIPMENT::GRINDING DISC,EQUIPMENT::GRINDING DISCS,EQUIPMENT::GRINDING DISC
EQUIPMENT,EQUIPMENT::GRINDING DISKS,EQUIPMENT::GRINDING DISK,EQUIPMENT::GRINDING DISK
EQUIPMENT,EQUIPMENT::GRINDING TOOLS,EQUIPMENT::GRINDING TOOL,EQUIPMENT::GRINDING TOOL
EQUIPMENT,EQUIPMENT::GUARD RAIL,EQUIPMENT::GUARD RAILS,EQUIPMENT::GUARD RAIL
EQUIPMENT,EQUIPMENT::GUIDE ROLLER,EQUIPMENT::GUIDE ROLLERS,EQUIPMENT::GUIDE ROLLER
EQUIPMENT,EQUIPMENT::GUIDED CABLE,EQUIPMENT::GUIDED CABLES,EQUIPMENT::GUIDED CABLE
EQUIPMENT,EQUIPMENT::H-BEAMS,EQUIPMENT::H-BEAM,EQUIPMENT::H-BEAM
EQUIPMENT,EQUIPMENT::HAMMER UNION,EQUIPMENT::HAMMER UNIONS,EQUIPMENT::HAMMER UNION
EQUIPMENT,EQUIPMENT::HAND RAILS,EQUIPMENT::HAND RAIL,EQUIPMENT::HAND RAIL
EQUIPMENT,EQUIPMENT::HAND TOOL,EQUIPMENT::HAND TOOLS,EQUIPMENT::HAND TOOL
EQUIPMENT,EQUIPMENT::HAND-RAIL,EQUIPMENT::HAND-RAILS,EQUIPMENT::HAND-RAIL
EQUIPMENT,EQUIPMENT::HANDRAIL,EQUIPMENT::HANDRAILS,EQUIPMENT::HANDRAIL
EQUIPMENT,EQUIPMENT::HANGERS,EQUIPMENT::HANGER,EQUIPMENT::HANGER
EQUIPMENT,EQUIPMENT::HARD HATS,EQUIPMENT::HARD HAT,EQUIPMENT::HARD HAT
EQUIPMENT,EQUIPMENT::HARDHATS,EQUIPMENT::HARDHAT,EQUIPMENT::HARDHAT
EQUIPMENT,EQUIPMENT::HEAT PAD,EQUIPMENT::HEAT PADS,EQUIPMENT::HEAT PAD
EQUIPMENT,EQUIPMENT::HEATERS,EQUIPMENT::HEATER,EQUIPMENT::HEATER
EQUIPMENT,EQUIPMENT::HEAVING LINE,EQUIPMENT::HEAVING LINES,EQUIPMENT::HEAVING LINE
EQUIPMENT,EQUIPMENT::HELMETS,EQUIPMENT::HELMET,EQUIPMENT::HELMET
